id,dataset,text,subject,prompt,label,response,confidence_level,truth_level,correct,response_explanation
1,ISOT_dataset_Fake,Building a wall on the U.S.-Mexico border will take literally years.,US_politics,"    Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".     Section 1 - a one word response of either ""Fact"" or ""Fake"".     Section 2 - a level from 1-10 on how confident you are that your answer from Section 1 is correct.    Section 3 - a level from 1-10 on how truthful the twitter post is.     Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post: ",Fake,Fact, 9, 9,0," Building a wall on the U.S.-Mexico border is a complex and time-consuming project that would require years to complete. The length of the border, the terrain, and the environmental impact assessment process are all factors that would contribute to the length of time it would take to build the wall."
2,ISOT_dataset_Fake,Wisconsin is on pace to double the number of layoffs this year.,US_politics,"    Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".     Section 1 - a one word response of either ""Fact"" or ""Fake"".     Section 2 - a level from 1-10 on how confident you are that your answer from Section 1 is correct.    Section 3 - a level from 1-10 on how truthful the twitter post is.     Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post: ",Fake,Fake, 8, 2,1, The post is fake because there is no evidence to support the claim that Wisconsin is on pace to double the number of layoffs this year. The confidence level is 8 because there is no data to support the claim. The truthfulness of the post is 2 because it is completely false.
3,ISOT_dataset_Fake,Says John McCain has done nothing to help the vets.,US_politics,"    Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".     Section 1 - a one word response of either ""Fact"" or ""Fake"".     Section 2 - a level from 1-10 on how confident you are that your answer from Section 1 is correct.    Section 3 - a level from 1-10 on how truthful the twitter post is.     Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post: ",Fake,Fake, 9, 1,1, John McCain was a strong advocate for veterans throughout his career. He served on the Senate Armed Services Committee for over 30 years and was a key player in passing legislation to improve the lives of veterans. He also worked to increase funding for veterans' programs and services.
4,ISOT_dataset_Fake,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,US_politics,"    Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".     Section 1 - a one word response of either ""Fact"" or ""Fake"".     Section 2 - a level from 1-10 on how confident you are that your answer from Section 1 is correct.    Section 3 - a level from 1-10 on how truthful the twitter post is.     Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post: ",Fake,Fake, 9, 1,1," The post is false because Suzanne Bonamici does not support a plan that will cut choice for Medicare Advantage seniors. In fact, she has been a vocal opponent of such plans. She has spoken out against cuts to Medicare Advantage and has voted against legislation that would have made it more difficult for seniors to access Medicare Advantage plans."
5,ISOT_dataset_Fake,"When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker nodded yes.",US_politics,"    Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".     Section 1 - a one word response of either ""Fact"" or ""Fake"".     Section 2 - a level from 1-10 on how confident you are that your answer from Section 1 is correct.    Section 3 - a level from 1-10 on how truthful the twitter post is.     Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post: ",Fake,Fake, 9, 1,1, The post is fake because there is no evidence that Governor Scott Walker nodded yes when asked if he was at the center of a criminal scheme to violate campaign laws. The confidence level is high because there is no credible source to support the claim. The truthfulness of the post is very low because it is based on a false premise.
6,ISOT_dataset_Fake,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.,US_politics,"    Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".     Section 1 - a one word response of either ""Fact"" or ""Fake"".     Section 2 - a level from 1-10 on how confident you are that your answer from Section 1 is correct.    Section 3 - a level from 1-10 on how truthful the twitter post is.     Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post: ",Fake,Fake, 9, 1,1, The post is false because the federal government does not pay out retirement or disability benefits to deceased former federal employees. The money is paid to the beneficiaries of the deceased employees. The confidence level is high because there is no evidence to support the claim that the federal government pays out benefits to deceased employees. The truthfulness level is low because the post is completely false.
7,ISOT_dataset_Fake,Says that Tennessee law requires that schools receive half of proceeds -- $31 million per year -- from a half-cent increase in the Shelby County sales tax.,US_politics,"    Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".     Section 1 - a one word response of either ""Fact"" or ""Fake"".     Section 2 - a level from 1-10 on how confident you are that your answer from Section 1 is correct.    Section 3 - a level from 1-10 on how truthful the twitter post is.     Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post: ",Fake,Fact, 8, 8,0," The Tennessee law does require that schools receive half of the proceeds from a half-cent increase in the Shelby County sales tax. This law was passed in 2019 and is known as the ""Shelby County Education Funding Act."" The law states that the proceeds from the sales tax increase must be used to fund public education in Shelby County, including capital improvements, teacher salaries, and other educational expenses. The law also requires that the Shelby County Board of Education develop a plan for how the funds will be used."
8,ISOT_dataset_Fake,"Says Vice President Joe Biden ""admits that the American people are being scammed"" with the economic stimulus package.",US_politics,"    Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".     Section 1 - a one word response of either ""Fact"" or ""Fake"".     Section 2 - a level from 1-10 on how confident you are that your answer from Section 1 is correct.    Section 3 - a level from 1-10 on how truthful the twitter post is.     Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post: ",Fake,Fake, 9, 1,1," The post is fake because Vice President Joe Biden did not admit that the American people are being scammed with the economic stimulus package. The post is based on a misinterpretation of Biden's comments. In a speech, Biden said that the economic stimulus package was ""not a perfect bill"" and that ""there are some things in it that I don't like."" However, he also said that the bill was ""a good bill"" and that it would ""help a lot of people."" Biden's comments were not an admission that the American people were being scammed. They were simply an acknowledgment that the economic stimulus package was not perfect."
9,ISOT_dataset_Fake,Donald Trump is against marriage equality. He wants to go back.,US_politics,"    Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".     Section 1 - a one word response of either ""Fact"" or ""Fake"".     Section 2 - a level from 1-10 on how confident you are that your answer from Section 1 is correct.    Section 3 - a level from 1-10 on how truthful the twitter post is.     Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post: ",Fake,Fake, 9, 2,1," Donald Trump has publicly stated his support for same-sex marriage on multiple occasions. In 2016, he said, ""I think we should leave it up to the states."" In 2017, he said, ""I am a traditionalist. I mean, I would say it's fine. I think people should be happy."" In 2018, he said, ""I think it's something that should be left up to the states."""
10,ISOT_dataset_Fake,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,US_politics,"    Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".     Section 1 - a one word response of either ""Fact"" or ""Fake"".     Section 2 - a level from 1-10 on how confident you are that your answer from Section 1 is correct.    Section 3 - a level from 1-10 on how truthful the twitter post is.     Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post: ",Fake,Fake, 9, 1,1," The post is false because there is no evidence to support the claim that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation. In fact, a study by the Center for Public Integrity found that only 15% of Clinton's meetings were with major donors to the foundation."
