id,dataset,text,subject,prompt,label,response,confidence_level,truth_level,correct,response_explanation
0,WELFake Dataset,"usapoliticsnow admin 2016 Election , US News 
Broward County is one of the largest swing counties in Florida. It would not take much voter fraud there to flip it. 
The voter fraud whistle-blower is a former Secretary of Elections Department employee and she has filled out a sworn affidavit: 
You can read the affidavit here. The affidavit by Chelsey Marie Smith accuses Broward County officials of filling out blank absentee ballots to officials who she saw filling the ballots out at the Supervisor of Elections headquarters. Smith said she was asked to deliver numerous ballots to a secret locked room where employees were filling out the absentee ballots. At first she was not clear as to what was happening. When she finally clearly saw what was up and reported it, she was terminated and told to never come back! 
After being caught red-handed engaging in voter fraud, Broward Country FL Sec of Elections Brenda Snipes claimed staff were “replicating damaged ballots” in the locked secret room without official monitors present. Yeah, that was a good one Brenda! 
According to the whistle-blower, the massive voter fraud went on day after day and included what had to be thousands of ballots. Brenda Snipes is already under lawsuit for deliberately misprinting absentee ballots! Why is she still around? 
Donald Trump is currently preparing a lawsuit against Snipes and the FL State Attorney investigators are actively reviewing the voter fraud case. Secretary of Election employees in Broward County, FL caught filling out absentee ballots! #FloridaFraud pic.twitter.com/MqjmFtDXHX 
— Mike Cernovich 🇺🇸 (@Cernovich) November 4, 2016 
Recently, numerous Florida voters have complained that they have not been receiving their absentee ballots. It seems we have found where some are going! How many other counties have a secret locked room!! 
Democrats live by an “ends justify the means” mentality. Cheating and stealing is of no issue to them as long as the outcome is the one that they want! Voter Fraud is entirely legitimate to them. 
UPDATE: 
Fox News reported that the Florida GOP has also filed a voter fraud lawsuit for illegally opening absentee ballots! 
The state GOP alleges that officials in Broward County, which includes Fort Lauderdale, have been opening tens of thousands of vote-by-mail ballots prior to them being cleared for counting. 
Chairman Blaise Ingoglia told Shapiro that “Florida law prescribes that when the supervisor of elections takes in all these ballots, they have to be approved by the canvassing board.” 
Therefore, the officials have no legal authority to open the ballot envelopes. 
Ingoglia said none of the ballots had been approved, so the party will be filing a lawsuit at 9 a.m. ET Thursday if county officials do not respond to his complaint by close-of-business on Wednesday. 
Source: www.ihavethetruth.com ",US_politics,"Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".      Section 1 - a one number response of either ""1"" if it is factual or ""0"" if it is dissinformation.      Section 2 - a level from 1-12 on how confident you are that your answer from Section 1 is correct.     Section 3 - a level from 1-12 on how truthful the twitter post is.      Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post:",0.0,1, 12, 0,0," The post is dissinformation because it makes several false and unsubstantiated claims about voter fraud in Broward County, Florida. There is no evidence to support the claim that Broward County officials filled out blank absentee ballots or that they were caught red-handed engaging in voter fraud. The post also falsely claims that Democrats live by an ""ends justify the means"" mentality and that cheating and stealing is of no issue to them. These claims are not supported by any evidence and are simply an attempt to discredit Democrats."
0,WELFake Dataset,"After failing to denounce or renounce an endorsement from the Ku Klux Klan, Donald Trump topped off his Sunday with the announcement of an endorsement from Senator Jeff Sessions (R-Alabama).Sessions said he would be backing Trump thanks to his harsh anti-immigration policies. You have asked for 30 years, and politicians have promised for 30 years, to fix illegal immigration,  said Mr. Sessions at the rally, held at an outdoor stadium filled with thousands of Trump supporters.  We have an opportunity Tuesday it may be the last opportunity we have for the people s voice to be heard.  He concluded,  I am pleased to endorse Donald Trump for the presidency of the United States. But Senator Sessions has a history of alleged racial insensitivity that fits right in with Trump s white supremacist campaign.In 1986 Sessions was nominated for a federal judgeship, but the nomination failed after allegations of racial insensitivy surfaced. J. Gerald Hebert, a lawyer from the Department of Justice who had worked with Sessions, testified to the U.S. Senate Judiciary Committee that Sessions had referred to the NAACP and the ACLU as  un-American  and  Communist-inspired  because they had  forced civil rights down the throats of people. Hebert also testified that Sessions had complained that a white lawyer was a  disgrace to his race  because he had litigated voting rights cases.Sessions himself admitted that he described the Voting Rights Act of 1965 as a  piece of intrusive legislation. Another assistant U.S. Attorney testified that Sessions told him he  used to think  the KKK was  okay  until he found out some of them were  pot smokers. The same attorney said Sessions called him  boy  and told him,  be careful what you say to white folks. Sessions  racial problems resurfaced during the nomination of Supreme Court Justice Sonia Sotomayor. Sessions whined that the judge had referred to herself as a  wise Latina,  then complained that she did not vote like other Puerto Ricans.Featured image via YouTube",US_politics,"Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".      Section 1 - a one number response of either ""1"" if it is factual or ""0"" if it is dissinformation.      Section 2 - a level from 1-12 on how confident you are that your answer from Section 1 is correct.     Section 3 - a level from 1-12 on how truthful the twitter post is.      Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post:",0.0,1, 12, 12,0," The post is factual. The information about Jeff Sessions' alleged racial insensitivity is well-documented and has been reported by multiple credible news sources. The post also provides specific examples of Sessions' alleged racist remarks, which further supports its factual nature."
0,WELFake Dataset,"US Intelligence Sees Attacks Likely Ahead of Tuesday Vote by Jason Ditz, November 04, 2016 Share This 
US intelligence officials have reportedly warned law enforcement around the country of the potential for multiple al-Qaeda terrorist attacks on Monday, aimed to coincide with the day before the US election. The reports were described as “ possibly legitimate and concerning. ” 
Details are still scant, but the intelligence has singled out New York, Virginia, and Texas as the mostly likely targets. Even then, they offered no details on potential locations, saying al-Qaeda and its affiliates are eager to regain their relevance. 
A NYPD spokesman briefed on the matter said that the threats “ lack specificity ,” however local police around the country were said to have been warned that polling places are considered “attractive targets” for both organized and homegrown terror attacks. 
Of course, saying that any upcoming event is a potential “attractive target” is not unusual these days, and hardly a significant holiday goes by in the US where warnings and briefings about potential attacks are not heavily publicized. 
The Monday warning offers some unusual details, however, as generally one would think the day of the election itself would be the target, when more people are queuing up for the vote. An attack the day before the election would, however, cast a rather dramatic pall over the entire matter. Last 5 posts by Jason Ditz",US_politics,"Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".      Section 1 - a one number response of either ""1"" if it is factual or ""0"" if it is dissinformation.      Section 2 - a level from 1-12 on how confident you are that your answer from Section 1 is correct.     Section 3 - a level from 1-12 on how truthful the twitter post is.      Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post:",0.0,1, 10, 5,0," The post is factual because it is based on information from US intelligence officials. However, the confidence level is only 10 because the details are still scant and the threats lack specificity. The truthfulness of the post is only 5 because it is possible that the intelligence is inaccurate or that the attacks will not actually occur."
0,WELFake Dataset,"TALLINN (Reuters) - European Union states will this month debate increasing pressure on Poland to uphold the rule of law, sources said, as the next stage in a process that could see its government formally denounced as anti-democratic. The nationalist Law and Justice (PiS) government in Warsaw has pushed through reforms to the judiciary and media that critics within the EU say have weakened the democratic order.  PiS rejects the criticism, accuses Brussels of overstepping its mandate and says it has broad backing for its reforms within Poland, a country of 38 million and formerly communist eastern Europe s dominant economy. After more than a year of growing pressure from the European Commission, the executive on Wednesday asked the bloc s 28 EU affairs ministers to discuss its concerns on Sept. 25, the day after national elections in Germany. The Commission s deputy head Frans Timmermans will brief the ministers on his so far futile efforts to persuade Warsaw to shift its position, the sources said. German Chancellor Angela Merkel has joined the growing chorus of those calling for firmer action on Poland and discussed the matter with the Commission s chief, Jean-Claude Juncker. Should Warsaw remain adamant, it eventually risks losing generous EU handouts if it continues to upset its wealthier peers that chip in for the funds, a debate gradually heating up in the bloc. For now, the EU has limited firepower at its disposal.  But it could trigger Article 7 proceedings under which it would ask the other 27 EU states to formally state that the rule of law was under threat in Poland - an action unprecedented in EU history. Timmermans has set a clear red line by saying that Article 7 would be opened should Warsaw start to fire the country s Supreme Court judges under the judicial overhaul. The dispute highlights Warsaw s growing isolation in the EU since the eurosceptic PiS won power there in 2015, but also a growing east-west divide within the bloc. Launching Article 7 would be a major embarrassment for Poland, but its regional ally Hungary - whose leader Viktor Orban also has a track record of crossing swords with Brussels - has made clear it would block any sanctions against it under the punitive procedure. In the west, increasingly frustrated with multiplying feuds with Warsaw that also touch on migration and environmental issues, some express renewed doubts about the 2004 EU enlargement that added eight ex-communist countries to the bloc.  In Poland, opposition parties sound alarm that PiS is reneging on fundamental EU values and could eventually risk sabotaging Poland s EU membership, which gave the country billions of euros and anchored it in the western world after decades of the Moscow-imposed communism after World War Two. But PiS has largely been successful in rallying its supporters around what it presents as standing up for Poland s national interests against the EU dictate, just as Orban has portrayed his own feuds with the bloc to his voters. The more immediate effect is that Warsaw is hemorrhaging political influence in the EU and has less capacity to shape the bloc s policies despite being the sixth largest state by population, and the fifth one after Britain leaves. ",US_politics,"Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".      Section 1 - a one number response of either ""1"" if it is factual or ""0"" if it is dissinformation.      Section 2 - a level from 1-12 on how confident you are that your answer from Section 1 is correct.     Section 3 - a level from 1-12 on how truthful the twitter post is.      Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post:",1.0,1, 12, 12,1," The article is factual because it is based on information from Reuters, a reputable news agency. The article provides a detailed account of the ongoing dispute between the European Union and Poland over the rule of law. The article also includes quotes from EU officials and Polish government officials."
0,WELFake Dataset,"COLOMBO (Reuters) - Two people have been arrested in Sri Lanka for suspected money laundering from a Taiwanese bank whose computer system was hacked to enable illicit transactions abroad, police said on Monday. Police acted after state-owned Bank of Ceylon reported a suspicious transfer into one of its accounts of $1.2 million from Taiwan Far Eastern Bank, following by a withdrawal of some of the money by one of the suspects.   We arrested on a tip-off from the Bank of Ceylon that there had been a suspicious transaction,  Shani Abeywardana, director at the police criminal investigations division (CID), told Reuters.   From the investigations and questioning we ve found out that this is connected to hacking in Taiwan,  Abeywardana said. Officials from Taiwan Far Eastern Bank were not immediately available for comment.  Focus Taiwan, the English-language news website of Taiwan s Central News Agency (CNA), said on Saturday Far Eastern Bank had reported to Taiwan s financial watchdog that its computer system had been infected with malware.  Through the planted malware, hackers conducted virtual transactions to move funds totaling nearly $60 million from Far Eastern Bank customers  accounts to some foreign destinations such as Sri Lanka, Cambodia and the United States, the bank found on Tuesday,  Focus Taiwan s website said. A spelling mistake in an online bank transfer instruction discovered by a Sri Lankan bank helped prevent a nearly $1 billion heist early last year involving the Bangladesh central bank and the New York Federal Reserve.      ",US_politics,"Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".      Section 1 - a one number response of either ""1"" if it is factual or ""0"" if it is dissinformation.      Section 2 - a level from 1-12 on how confident you are that your answer from Section 1 is correct.     Section 3 - a level from 1-12 on how truthful the twitter post is.      Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post:",1.0,1, 12, 12,1," The article is factual because it is based on a Reuters news report. The police in Sri Lanka have arrested two people for suspected money laundering from a Taiwanese bank whose computer system was hacked to enable illicit transactions abroad. The article also cites a report from Focus Taiwan, the English-language news website of Taiwan's Central News Agency (CNA), which said that Far Eastern Bank had reported to Taiwan's financial watchdog that its computer system had been infected with malware. The malware allowed hackers to conduct virtual transactions to move funds totaling nearly $60 million from Far Eastern Bank customers' accounts to some foreign destinations such as Sri Lanka, Cambodia, and the United States."
0,WELFake Dataset,"Hello Jeff Sessions! Where is the DOJ s leader these days? Something tells us the Trump Dossier will end up being the bombshell that exposes Comey, Brennan and Clapper and all of the other criminals who used this dossier to spy on Trump. Obama used the dossier to spy on Trump!Anyone who followed the Obama White House intel policy outcomes will know that DNI Clapper and CIA Director John Brennan were the two primary political operatives weaponizing intelligence.But it gets better Comey comes into play:Remember the bombshell testimony of the Hermitage Capital CEO where the origin of the Fusion GPS  Russian Dossier  was discussed? CEO Browder stated the Russian government paid Fusion GPS to create the Steele propaganda dossier on candidate Donald Trump. That same dossier was used by the FBI in June/July 2016 to generate the FISA surveillance warrants against the Trump campaign. BOMBSHELL: Comey was using propaganda commissioned by Russia, funded in part by the FBI, to attack Trump, as the framework to launch his FBI investigation into candidate Donald Trump and Russian collusion.CEO BROWDER S ADMISSION BELOW:This is getting good.What does Nunes do now after several attempts at getting documents related to the dossier?After two previous deadlines came and went, House Intelligence Committee chairman Devin Nunes has set a new date for the FBI and Justice Department to turn over documents relating to the Trump dossier.Nunes originally subpoenaed the FBI and Justice on Aug. 24, demanding dossier documents by Sept. 1. When none were produced, Nunes agreed to extend the deadline to September 14. During that time, arrangements were made for intelligence committee investigators to visit the Justice Department to make sure officials on both sides understood precisely which documents the committee seeks.No documents were produced by Sept. 14, and now Nunes, apparently unsatisfied with the results of the staff meeting, has sent a new letter to FBI Director Christopher Wray and Attorney General Jeff Sessions. In it, Nunes set a deadline of this Friday for the documents to be produced. If the documents are not produced by then, Nunes directed that Wray and Sessions appear in an open committee hearing Sept. 28, to explain why they did not hand over the materials.The document request in the original Aug. 24 subpoena has not changed. It focuses on the FBI s relations with Christopher Steele, the former British spy retained by the American opposition research firm Fusion GPS to dig dirt on Donald Trump in Russia as part of an effort funded by wealthy supporters of Hillary Clinton. Among other things, the original subpoena demanded all internal FBI reports  incorporating, relying on, or referring to  information provided by Steele, his sources, or Fusion GPS.The original subpoena also asked for  any information, if it exists, provided by Mr. Steele as an informant/source (confidential or otherwise) or in any other capacity,  as well as any documents relating to whether the FBI paid or offered any benefits to Steele. The subpoena also asked for all documents relating to FBI and Justice  efforts to corroborate, validate, or evaluate  information provided by Steele.Finally, the original subpoena requested any court applications for surveillance that included any information provided by Steele, plus any court orders, if there were any, that were based in any part on Steele s information.So far, the FBI and Justice Department have not provided the information. Now, they have a new deadline.Read more: WE",US_politics,"Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".      Section 1 - a one number response of either ""1"" if it is factual or ""0"" if it is dissinformation.      Section 2 - a level from 1-12 on how confident you are that your answer from Section 1 is correct.     Section 3 - a level from 1-12 on how truthful the twitter post is.      Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post:",0.0,1, 12, 0,0," The post is dissinformation because it makes several false and misleading claims. For example, it claims that the Trump dossier was used by the FBI to spy on Trump, when in fact the dossier was used to investigate possible ties between the Trump campaign and Russia. Additionally, the post claims that the Russian government paid Fusion GPS to create the dossier, when in fact Fusion GPS was hired by a Democratic political research firm."
0,WELFake Dataset," Members Of The Intelligence Committee Simply Don t Want Hillary As Next President of the United States As Barack Obama blames Russia for hacking Hillary s emails and vows to pay back Putin with a massive cyber attack Fox News contributor Judge Napolitano explains why the NSA, and not the Russian government, is to blame for hacking the DNC email servers:",US_politics,"Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".      Section 1 - a one number response of either ""1"" if it is factual or ""0"" if it is dissinformation.      Section 2 - a level from 1-12 on how confident you are that your answer from Section 1 is correct.     Section 3 - a level from 1-12 on how truthful the twitter post is.      Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post:",0.0,1, 12, 1,0, The post is dissinformation because it is not true that the NSA hacked the DNC email servers. The US intelligence community has concluded that Russia was responsible for the hack. The post is also dissinformation because it claims that members of the Intelligence Committee do not want Hillary Clinton to be president. There is no evidence to support this claim.
0,WELFake Dataset,"Donald Trump s presidential campaign is spiraling out of control. Reeling from days and days of missteps by the nominee following the Democratic Convention, the campaign has been a steady stream of bizarre behavior and comments.And it isn t just the nominee who is making bizarre statements and accusations.Katrina Pierson, the national spokeswoman for Trump s presidential campaign, appeared on CNN s The Situation Room with Wolf Blitzer. During the appearance, they discussed Trump s ongoing smear campaign attacking the family of U.S. Army Captain Humayun Khan.Watch: Katrina Pierson blames Obama and Clinton for Kahn losing his life in interview with Wolf Blizter. pic.twitter.com/XRGvm5tMsc  Hardys Closet  (@HardysCloset) August 2, 2016Pierson then told Blitzer that Khan s death likely came about because President Obama (along with Secretary of State Hillary Clinton) had changed the rules of engagement in Iraq.Captain Khan died in Iraq on June 8, 2004.When the Captain died, President Obama was a state senator from Illinois. He had not even given his famous  Two Americas  speech, which took place at the 2004 Democratic Convention on July 27, 2004. He had no power or influence over the rules of engagement on any battlefield the United States was involved in.The only way for any of that scenario   as described by Trump s official spokesperson   was for Obama to be in possession of a time machine, or through the use of magic or some kind of super power.The statement   from the Trump campaign s official spokesperson   comes on the same day where Trump held in a rally in which he insulted multiple American cities, said he hoped for an economic collapse to happen before he is elected so he won t be blamed, and yelled at two parents with crying babies.Later in the day, Trump gave an interview in which he promoted the primary challenger to Speaker Paul Ryan, said he was not ready to endorse Ryan, and attacked Senator Kelly Ayotte, the Republican nominee for the U.S. Senate in New Hampshire.All of these events happened on a single day.Featured image via Twitter",US_politics,"Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".      Section 1 - a one number response of either ""1"" if it is factual or ""0"" if it is dissinformation.      Section 2 - a level from 1-12 on how confident you are that your answer from Section 1 is correct.     Section 3 - a level from 1-12 on how truthful the twitter post is.      Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post:",0.0,1, 12, 1,0," The post is factual because it accurately describes the events that occurred on the day in question. The post provides specific examples of Trump's bizarre behavior and comments, as well as the statements made by Katrina Pierson. The post also correctly states that President Obama was not in a position to change the rules of engagement in Iraq at the time of Captain Khan's death."
0,WELFake Dataset,"NEW YORK (Reuters) - Former New York City Mayor Rudolph Giuliani is now the leading candidate to become President-elect Donald Trump’s secretary of state, but even some Republicans say his tough-guy personality and global business ties may be at odds with international diplomacy. Giuliani, 72, has been one of Trump’s most vocal and high-profile supporters, and according to sources close to him and Trump, he is eager to become the top U.S. diplomat and expects a decision by Trump as early as next week. The other top candidate, the sources said, is former United Nations Ambassador John Bolton, a foreign policy hawk. New York mayor at the time of the Sept. 11, 2001, attacks by al Qaeda militants, Giuliani is also considered a hard-liner on national security matters, but he has little diplomatic experience. Still, some prominent Republicans said he is qualified to take command of U.S. diplomacy at a time of chaos in the Middle East, rising nationalism in much of Europe, and growing challenges from Russia and China. Senator Lindsey Graham, a respected conservative voice on defense and foreign policy who serves on the Senate Armed Services Committee and who made a rather short-lived bid for the 2016 Republican presidential nomination, on Tuesday called Giuliani “competent and capable” of being secretary of state.  “Rudy is an internationally-known figure. He’s a personal friend. He has dealt with the unimaginable, which was 9/11. He’s a loyal supporter of President Trump. He should be rewarded in my view,” Graham told reporters. Giuliani himself extolled his foreign policy credentials in an interview with Fox News Channel’s Sean Hannity on Tuesday.  “I’ve been in 80 countries, 150 different foreign trips,” Giuliani said. “A lot of it for different reasons. Speeches. Security consulting, where I helped bring down crime.” Critics, however, said they are troubled not only by Giuliani’s combative nature and lack of experience, but also by his international business ties and his lucrative speaking engagements for an Iranian exile group that was on the U.S. terrorism list until four years ago. The Trump transition team did not immediately respond to a request for comment on its consideration of Giuliani for secretary of state. After serving as New York mayor for eight years, Giuliani founded management and security consulting firm Giuliani Partners in 2002, which he left in 2007 when he campaigned for the Republican presidential nomination and questions were raised about his foreign business ties.  The firm’s clients have included Colombia and, reportedly, the government of Qatar. Giuliani appears to have resumed work with the firm after his 2007 failed presidential bid, and is listed as chairman and chief executive officer of Giuliani Partners on the Giuliani Security and Safety website. He joined a Texas law firm as a name partner in 2005. The firm did lobbying work for Citgo, a U.S. subsidiary of Venezuela’s state-owned oil company, which at the time was  controlled by President Hugo Chavez, Venezuela’s late socialist ruler. At the time, Giuliani’s office said he was not personally involved in the lobbying and said Giuliani believed that “Chavez is not a friend of the United States.” Giuliani’s dealings in Russia may face scrutiny in Senate confirmation hearings. His ties to TriGlobal Strategic Ventures, a consulting firm that helps Western clients advance their business interests in emerging markets of the former Soviet Union, date back to 2004, when Giuliani visited Moscow to meet Russian businessmen and politicians, according to the company’s website. The consulting firm’s president, Vitaly Pruss, has “created and developed strategies” for companies including Russian oil pipeline monopoly Transneft and has “worked closely” with Giuliani Partners, according to his profile on TriGlobal’s website. State-owned Transneft was among Russian oil companies targeted with sanctions by Western powers following Russia’s annexation of Crimea under President Vladimir Putin. Giuliani also has spoken in support of the People’s Mujahedin Organization of Iran, a group of Islamic leftists who opposed Iran’s late shah, but fell out with the Shi’ite clerics who took power after the 1979 revolution and later aligned itself with Iraqi leader Saddam Hussein. The U.S. government considered it a terrorist organization until 2012. Senator Rand Paul of Kentucky, who also was a contender for the 2016 Republican presidential nomination, told CNN on Tuesday he was worried about Giuliani’s ties to foreign governments.     “Whether or not you have divided loyalties obviously is very important,” Paul said. “I hope Donald Trump will pick somebody consistent with what he said on the campaign trail - Iraq war was a mistake, regime change in the Middle East is a mistake. “You want to have a diplomat in charge of diplomacy,” he said. Critics, however, say the bottom line is that Giuliani is no diplomat, either personally or professionally.    “The challenge for Giuliani if he becomes secretary of state would be to move beyond the tough guy persona he cultivated as prosecutor and mayor and instead stand up for some of the basic principles of human rights, democratic accountability, and the rule of law that enhance rather than shrink America’s influence abroad,” said Ken Roth, executive director of Human Rights Watch, who worked for Giuliani when he was a federal prosecutor between 1983 and 1987. ",US_politics,"Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".      Section 1 - a one number response of either ""1"" if it is factual or ""0"" if it is dissinformation.      Section 2 - a level from 1-12 on how confident you are that your answer from Section 1 is correct.     Section 3 - a level from 1-12 on how truthful the twitter post is.      Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post:",1.0,1, 12, 12,1," The twitter post is factual because it is a news article from Reuters, a reputable news organization. The article provides detailed information about Giuliani's qualifications and experience, as well as the concerns that some people have about his potential appointment as secretary of state. The article is well-written and provides a balanced view of the issue."
0,WELFake Dataset,"WASHINGTON (Reuters) - U.S. Transportation Secretary Elaine Chao will unveil on Tuesday streamlined safety guidelines for automakers that want to deploy self-driving vehicles, a person briefed on the matter said Monday, as members of Congress push their own proposals to remove regulatory barriers to the technology. The new Transportation Department policy is expected to offer the lighter regulatory touch that automakers have pushed for. For example, the Transportation Department is expected to state that automakers do not have to seek approval from regulators before putting self-driving vehicles on the road.  Separately, the National Transportation Safety Board on Tuesday is expected to release findings that Tesla Inc’s semi-autonomous Autopilot mode was a contributing factor in the May 2016 death of a motorist. That case has highlighted concerns about the design of systems that automate some, but not all, driving tasks. The new document is titled “A Vision for Safety” and will be less than half the length of the Obama administration guidelines released in September 2016 and will be less “burdensome,” the  person briefed on the announcement said. Chao is expected to make the announcement in Ann Arbor at a self-driving testing facility.  The Transportation Department is releasing its voluntary safety standards at the same time a bipartisan coalition in Congress is moving forward on legislation also designed to speed commercialization of self-driving cars without human controls and bar states from blocking their deployment.   On Wednesday, the U.S. House of Representatives voted unanimously on a measure to clear legal obstacles that could discourage automakers and technology companies from putting self-driving cars into broader use. The House measure would allow automakers to field up to 25,000 vehicles without meeting existing auto safety standards in the first year. Over three years, the cap would rise to 100,000 vehicles annually. Automakers would be required to provide regulators with safety assessments of their systems, but would not have to get federal approval to put autonomous cars on the road. A group of senators introduced a similar draft bill on Friday. In September 2016, the Obama administration proposed that automakers voluntarily submit details of self-driving vehicle systems in a 15-point “safety assessment” and urged states to defer to the federal government on most vehicle regulations. An auto trade group representing General Motors Co, Volkswagen AG (VOWG_p.DE), Toyota Motor Corp and others, objected to the Obama administration proposal. ",US_politics,"Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".      Section 1 - a one number response of either ""1"" if it is factual or ""0"" if it is dissinformation.      Section 2 - a level from 1-12 on how confident you are that your answer from Section 1 is correct.     Section 3 - a level from 1-12 on how truthful the twitter post is.      Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post:",1.0,1, 12, 12,1," The article is factual because it is based on information from Reuters, a reputable news organization. The article is also consistent with other reporting on the same topic. The confidence level is 12 because the information is from a credible source and is consistent with other reporting. The truthfulness of the post is 12 because it is based on factual information and is not misleading."
