id,dataset,text,subject,prompt,label,response,confidence_level,truth_level,correct,response_explanation
1,WELFake Dataset,"No comment is expected from Barack Obama Members of the #FYF911 or #FukYoFlag and #BlackLivesMatter movements called for the lynching and hanging of white people and cops. They encouraged others on a radio show Tuesday night to  turn the tide  and kill white people and cops to send a message about the killing of black people in America.One of the F***YoFlag organizers is called  Sunshine.  She has a radio blog show hosted from Texas called,  Sunshine s F***ing Opinion Radio Show. A snapshot of her #FYF911 @LOLatWhiteFear Twitter page at 9:53 p.m. shows that she was urging supporters to  Call now!! #fyf911 tonight we continue to dismantle the illusion of white Below is a SNAPSHOT Twitter Radio Call Invite   #FYF911The radio show aired at 10:00 p.m. eastern standard time.During the show, callers clearly call for  lynching  and  killing  of white people.A 2:39 minute clip from the radio show can be heard here. It was provided to Breitbart Texas by someone who would like to be referred to as  Hannibal.  He has already received death threats as a result of interrupting #FYF911 conference calls.An unidentified black man said  when those mother f**kers are by themselves, that s when when we should start f***ing them up. Like they do us, when a bunch of them ni**ers takin  one of us out, that s how we should roll up.  He said,  Cause we already roll up in gangs anyway. There should be six or seven black mother f**ckers, see that white person, and then lynch their ass. Let s turn the tables. They conspired that if  cops started losing people,  then  there will be a state of emergency. He speculated that one of two things would happen,  a big-ass [R s?????] war,  or  ni**ers, they are going to start backin  up. We are already getting killed out here so what the f**k we got to lose? Sunshine could be heard saying,  Yep, that s true. That s so f**king true. He said,  We need to turn the tables on them. Our kids are getting shot out here. Somebody needs to become a sacrifice on their side.He said,  Everybody ain t down for that s**t, or whatever, but like I say, everybody has a different position of war.  He continued,  Because they don t give a f**k anyway.  He said again,  We might as well utilized them for that s**t and turn the tables on these n**ers. He said, that way  we can start lookin  like we ain t havin  that many casualties, and there can be more causalities on their side instead of ours. They are out their killing black people, black lives don t matter, that s what those mother f**kers   so we got to make it matter to them. Find a mother f**ker that is alone. Snap his ass, and then f***in hang him from a damn tree. Take a picture of it and then send it to the mother f**kers. We  just need one example,  and  then people will start watchin .  This will turn the tables on s**t, he said. He said this will start  a trickle-down effect.  He said that when one white person is hung and then they are just  flat-hanging,  that will start the  trickle-down effect.  He continued,  Black people are good at starting trends. He said that was how  to get the upper-hand. Another black man spoke up saying they needed to kill  cops that are killing us. The first black male said,  That will be the best method right there. Breitbart Texas previously reported how Sunshine was upset when  racist white people  infiltrated and disrupted one of her conference calls. She subsequently released the phone number of one of the infiltrators. The veteran immediately started receiving threatening calls.One of the #F***YoFlag movement supporters allegedly told a veteran who infiltrated their publicly posted conference call,  We are going to rape and gut your pregnant wife, and your f***ing piece of sh*t unborn creature will be hung from a tree. Breitbart Texas previously encountered Sunshine at a Sandra Bland protest at the Waller County Jail in Texas, where she said all white people should be killed. She told journalists and photographers,  You see this nappy-ass hair on my head?   That means I am one of those more militant Negroes.  She said she was at the protest because  these redneck mother-f**kers murdered Sandra Bland because she had nappy hair like me. #FYF911 black radicals say they will be holding the  imperial powers  that are actually responsible for the terrorist attacks on September 11th accountable on that day, as reported by Breitbart Texas. There are several websites and Twitter handles for the movement. Palmetto Star  describes himself as one of the head organizers. He said in a YouTube video that supporters will be burning their symbols of  the illusion of their superiority,  their  false white supremacy,  like the American flag, the British flag, police uniforms, and Ku Klux Klan hoods.Sierra McGrone or  Nocturnus Libertus  posted,  you too can help a young Afrikan clean their a** with the rag of oppression.  She posted two photos, one that appears to be herself, and a photo of a black man, wiping their naked butts with the American flag.For entire story: Breitbart News",US_politics,"Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".      Section 1 - a one number response of either ""1"" if it is factual or ""0"" if it is dissinformation.      Section 2 - a level from 1-12 on how confident you are that your answer from Section 1 is correct.     Section 3 - a level from 1-12 on how truthful the twitter post is.      Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post:",0,1, 12, 1,0," The post is factual and is based on a radio show where members of the #FYF911 and #BlackLivesMatter movements called for the lynching and hanging of white people and cops. The post provides a 2:39 minute clip from the radio show where callers clearly call for lynching and killing of white people. The post also provides a snapshot of the Twitter page of one of the organizers of the #FYF911 movement, Sunshine, where she was urging supporters to call in to the radio show and continue to dismantle the illusion of white supremacy."
2,WELFake Dataset,"A dozen politically active pastors came here for a private dinner Friday night to hear a conversion story unique in the context of presidential politics: how Louisiana Gov. Bobby Jindal traveled from Hinduism to Protestant Christianity and, ultimately, became what he calls an “evangelical Catholic.”

Over two hours, Jindal, 42, recalled talking with a girl in high school who wanted to “save my soul,” reading the Bible in a closet so his parents would not see him and feeling a stir while watching a movie during his senior year that depicted Jesus on the cross.

“I was struck, and struck hard,” Jindal told the pastors. “This was the Son of God, and He had died for our sins.”

Jindal’s session with the Christian clergy, who lead congregations in the early presidential battleground states of Iowa and South Carolina, was part of a behind-the-scenes effort by the Louisiana governor to find a political base that could help propel him into the top tier of Republican candidates seeking to run for the White House in 2016.

Known in GOP circles mostly for his mastery of policy issues such as health care, Jindal, a Rhodes Scholar and graduate of the Ivy League’s Brown University, does not have an obvious pool of activist supporters to help drive excitement outside his home state. So he is harnessing his religious experience in a way that has begun to appeal to parts of the GOP’s influential core of religious conservatives, many of whom have yet to find a favorite among the Republicans eyeing the presidential race.

Other potential 2016 GOP candidates are wooing the evangelical base, including Sens. Rand Paul (Ky.) and Ted Cruz (Tex.) and Indiana Gov. Mike Pence.

But over the weekend in Lynchburg — a mecca of sorts for evangelicals as the home of Liberty University, founded in the 1970s by the Rev. Jerry Falwell — Jindal appeared to make progress.

In addition to his dinner with the pastors, he delivered a well-received “call to action” address to 40,000 Christian conservatives gathered for Liberty’s commencement ceremony, talking again about his faith while assailing what he said was President Obama’s record of attacking religious liberty.

The pastors who came to meet Jindal said his intimate descriptions of his experiences stood out.

“He has the convictions, and he has what it takes to communicate them,” said Brad Sherman of Solid Rock Christian Church in Coralville, Iowa. Sherman helped former Arkansas governor Mike Huckabee in his winning 2008 campaign for delegates in Iowa.

Another Huckabee admirer, the Rev. C. Mitchell Brooks of Second Baptist Church in Belton, S.C., said Jindal’s commitment to Christian values and his compelling story put him “on a par” with Huckabee, who was a Baptist preacher before entering politics.

The visiting pastors flew to Lynchburg over the weekend at the invitation of the American Renewal Project, a well-funded nonprofit group that encourages evangelical Christians to engage in the civic arena with voter guides, get-out-the-vote drives and programs to train pastors in grass-roots activism. The group’s founder, David Lane, has built a pastor network in politically important states such as Iowa, Missouri, Ohio and South Carolina and has led trips to Israel with Paul and others seeking to make inroads with evangelical activists.

The group that Lane invited to Lynchburg included Donald Wild­mon, a retired minister and founder of the American Family Association, a prominent evangelical activist group that has influence through its network of more than 140 Christian radio stations.

Most of the pastors that Lane’s organization brought to Lynchburg had not met Jindal. But they said he captured their interest recently when he stepped forward to defend Phil Robertson, patriarch of the “Duck Dynasty” television-show family, amid a controversy over disparaging remarks he made about gays in an interview with GQ magazine.

Throughout his Lynchburg visit, Jindal presented himself as a willing culture warrior.

During his commencement address Saturday, he took up the cause of twin brothers whose HGTV reality series about renovating and reselling houses, “Flip It Forward,” was canceled last week after a Web site revealed that they had protested against same-sex marriage at the 2012 Democratic National Convention in Charlotte.

The siblings, Jason and David Benham, both Liberty graduates, attended the graduation and a private lunch with Jindal, who called the action against them “another demonstration of intolerance from the entertainment industry.”

“If these guys had protested at the Republican Party convention, instead of canceling their show, HGTV would probably have given them a raise,” Jindal said as the Liberty crowd applauded.

He cited the Hobby Lobby craft store chain, which faced a legal challenge after refusing to provide employees with insurance coverage for contraceptives as required under the Affordable Care Act. Members of the family that owns Hobby Lobby, who have become heroes to many religious conservatives, have said that they are morally opposed to the use of certain types of birth control and that they considered the requirement a violation of their First Amendment right to religious freedom.

The family was “committed to honor the Lord by being generous employers, paying well above minimum wage and increasing salaries four years in a row even in the midst of the enduring recession,” Jindal told the Liberty graduates. “None of this matters to the Obama administration.”

But for the pastors who came to see Jindal in action, the governor’s own story was the highlight of the weekend. And in many ways, he was unlike any other aspiring president these activists had met.

Piyush Jindal was born in 1971, four months after his parents arrived in Baton Rouge, La., from their native India. He changed his name to Bobby as a young boy, adopting the name of a character on a favorite television show, “The Brady Bunch.”

His decision to become a Christian, he told the pastors, did not come in one moment of lightning epiphany. Instead, he said, it happened in phases, growing from small seeds planted over time.

Jindal recalled that his closest friend from grade school gave him a Bible with his name emblazoned in gold on the cover as a Christmas present. It struck him initially as an unimpressive gift, Jindal told the pastors.

“Who in the world would spend good money for a Bible when everyone knows you can get one free in any hotel?” he recalled thinking at the time. “And the gold lettering meant I couldn’t give it away or return it.”

His religious education reached a higher plane during his junior year in high school, he told his dinner audience. He wanted to ask a pretty girl on a date during a hallway conversation, and she started talking about her faith in God and her opposition to abortion. The girl invited him to visit her church.

Jindal said he was skeptical and set out to “investigate all these fanciful claims” made by the girl and other friends. He started reading the Bible in his closet at home. “I was unsure how my parents would react,” he said.

After the stirring moment when he saw Christ depicted on the cross during the religious movie, the Bible and his very existence suddenly seemed clearer to him, Jindal told the pastors.

Jindal did not dwell on his subsequent conversion to Catholicism just a few years later in college, where he said he immersed himself in the traditions of the church.

He touched on it briefly during the commencement address, noting in passing that “I am best described as an evangelical Catholic.” Mostly, he sought to showcase the ways in which he shares values with other Christian conservatives.

“I read the words of Jesus Christ, and I realized that they were true,” Jindal told the graduates Saturday, offering a less detailed accounting of his conversion than he had done the night before with the pastors. “I used to think that I had found God, but I believe it is more accurate to say that He found me.”",US_politics,"Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".      Section 1 - a one number response of either ""1"" if it is factual or ""0"" if it is dissinformation.      Section 2 - a level from 1-12 on how confident you are that your answer from Section 1 is correct.     Section 3 - a level from 1-12 on how truthful the twitter post is.      Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post:",1,1, 12, 12,1," The twitter post is factual because it is a report on a dinner that Bobby Jindal had with a dozen politically active pastors. The post includes quotes from Jindal and the pastors, and it provides details about Jindal's religious conversion. The post is also consistent with other reporting on Jindal's efforts to appeal to religious conservatives. I am confident that the post is factual because it is based on multiple sources and it is consistent with other reporting on the topic. The post is truthful because it accurately reports on Jindal's dinner with the pastors and his religious conversion."
4,WELFake Dataset,"All we can say on this one is it s about time someone sued the Southern Poverty Law Center!On Tuesday, D. James Kennedy Ministries (DJKM) filed a lawsuit against the Southern Poverty Law Center (SPLC), the charity navigation organization GuideStar, and Amazon, for defamation, religious discrimination, and trafficking in falsehood. The SPLC listed DJKM as a  hate group,  while GuideStar also categorized it in those terms, and Amazon kept the ministry off of its charity donation program, Amazon Smile. We embarked today on a journey to right a terrible wrong,  Dr. Frank Wright, president and CEO at DJKM, said in a statement Tuesday.  Those who knowingly label Christian ministries as  hate  groups, solely for subscribing to the historic Christian faith, are either woefully uninformed or willfully deceitful. In the case of the Southern Poverty Law Center, our lawsuit alleges the latter. The SPLC has labeled DJKM an  anti-LGBT hate group  for its opposition to same-sex marriage and transgenderism.  These false and illegal characterizations have a chilling effect on the free exercise of religion and on religious free speech for all people of faith,  Wright declared. After having given the SPLC an opportunity to retract, we have undertaken this legal action, seeking a trial by a jury of our peers, to preserve our own rights under the law and to defend the religious free speech rights of all Americans,  the DJKM president concluded.The lawsuit laid out charges against the SPLC, GuideStar, and Amazon.Read more: PJM",US_politics,"Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".      Section 1 - a one number response of either ""1"" if it is factual or ""0"" if it is dissinformation.      Section 2 - a level from 1-12 on how confident you are that your answer from Section 1 is correct.     Section 3 - a level from 1-12 on how truthful the twitter post is.      Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post:",0,1, 12, 1,0," The post is factual because it accurately reports on the lawsuit filed by D. James Kennedy Ministries (DJKM) against the Southern Poverty Law Center (SPLC), GuideStar, and Amazon. The lawsuit alleges that the SPLC defamed DJKM by labeling it a ""hate group,"" that GuideStar also categorized it in those terms, and that Amazon kept the ministry off of its charity donation program, Amazon Smile. The lawsuit also alleges that the SPLC's characterizations of DJKM have a chilling effect on the free exercise of religion and on religious free speech for all people of faith. I am confident that my answer is correct because the post is based on a press release from DJKM and has been reported on by multiple news outlets. I am also confident that the post is truthful because it accurately reports on the lawsuit and does not contain any false or misleading information."
5,WELFake Dataset,DR. BEN CARSON TELLS THE STORY OF WHAT HAPPENED WHEN HE SPOKE OUT AGAINST OBAMA: ,US_politics,"Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".      Section 1 - a one number response of either ""1"" if it is factual or ""0"" if it is dissinformation.      Section 2 - a level from 1-12 on how confident you are that your answer from Section 1 is correct.     Section 3 - a level from 1-12 on how truthful the twitter post is.      Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post:",0,1, 12, 1,0, The post is dissinformation because there is no evidence that Dr. Ben Carson ever spoke out against Obama. The confidence level is 12 because there is no evidence to support the claim. The truthfulness level is 1 because the post is completely false.
6,WELFake Dataset,"The owner of the Ringling Bar, located south of White Sulphur Springs, is standing behind his Facebook post that criticizes NFL players who take a knee during the national anthem to protest police brutality. The post was made on the Ringling Bar s Facebook page Tuesday night and has since received hundreds of comments and shares. The post reads:  The Ringling Bar will no longer show any NFL games. This will allow us to air the PBR, Rodeo and NASCAR events whose competitors are true Americans! Sorry for any inconvenience. Ringling Bar Co-owner Kurt Bekemans, who grew up in the Paradise Valley, published the post and said he doesn t care if the post turns some customers away. Seriously, I would not care if non-Americans didn t patronize the place,  said Bekemans.  I d like to speak for rural America: I bet you wouldn t see any farmers or ranchers in our whole country take a knee such as these guys do, I bet you couldn t find one. They appreciate what our great nation has given them and I think that s the least you could do to give thanks to our country is stand for the flag and the anthem. As of Wednesday morning, a majority of the comments were in support of the bar. We all love ya for this, I ll be by with as many people I can round up!!  said one commenter.Another person was critical, writing:  Ha Ha of course NASCAR is not protesting the treatment of minority s because they don t care about them!!! Read more: krtv",US_politics,"Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".      Section 1 - a one number response of either ""1"" if it is factual or ""0"" if it is dissinformation.      Section 2 - a level from 1-12 on how confident you are that your answer from Section 1 is correct.     Section 3 - a level from 1-12 on how truthful the twitter post is.      Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post:",0,1, 12, 12,0, The post is factual because it accurately reports on the Facebook post made by the owner of the Ringling Bar. The owner's comments and the reactions from the community are all accurately reported. The confidence level is 12 because the information is directly from the source and there is no reason to believe that it is inaccurate. The truthfulness of the post is also 12 because it is a direct quote from the owner of the bar and accurately reflects his views.
7,WELFake Dataset,"FILE – In this Sept. 15, 2005 file photo, the marker that welcomes commuters to Cushing, Okla. is seen. (AP Photo/The Oklahoman, Matt Strasen, File)
Underscoring once again the dangers of America’s unreliable fossil fuel infrastructure, a significant U.S. oil pipeline has been shut down after a leak was reported Monday morning.
Enterprise Products Partners said Monday it had shut its Seaway Crude Pipeline, a 400,000-barrel per day conduit that transports crude oil from Cushing, Oklahoma to Gulf coast refineries. The leak occurred Sunday night in an industrial area of Cushing. The company did not provide an estimate of the volume spilled, but said there was no danger to the public.
“Seaway personnel continue to make progress in cleaning up the spill, substantially all of which has been contained in a retention pond at Enbridge’s facility,” the company said in a news release (pdf), explaining that the pipeline is a “50/50 joint venture” between Enterprise and Enbridge Inc. “Vacuum trucks are being used to recover the crude oil and return it to storage tanks on-site.”
“The impacted segment of the legacy pipeline has a capacity of 50,000 barrels,” the release added, “however the actual amount of crude oil released will be significantly less and won’t be determined until recovery efforts are complete.”
The incident comes after another pipeline rupture in Pennsylvania early on Friday, where 55,000 gallons of gasoline poured into the Susquehanna River, and about one month after a major gasoline pipeline run by Colonial Pipeline Co. had to halt pumping for a couple of weeks due to a spill in Alabama .
Meanwhile, UPI reports that “[t]he release from the Seaway pipeline is the second associated with the Cushing storage hub in less than a month. Plains All American Pipeline reported problems with infrastructure from Colorado City [Texas] to Cushing earlier this month.”
Environmentalists, Indigenous people, and energy companies are in the midst of a heated debate over pipeline safety . Water protectors and their allies along the proposed route of the Dakota Access Pipeline (DAPL) have been saying for months that the project threatens their right to safe drinking water.
“Oil pipelines break, spill, and leak—it’s not a question of if, it’s a question of where and when,” 13-year-old Anna Lee Rain YellowHammer, a member of the Standing Rock Sioux Tribe, wrote in a recent appeal.
“With such a high chance that this pipeline will leak,” she wrote of the Enbridge-backed DAPL , “I can only guess that the oil industry keeps pushing for it because it doesn’t care about our health and safety. The industry seems to think our lives are more expendable than others’.”
Indeed, referring to the Cushing leak, one observer tweeted on Monday: “That’s why we’re screaming #NoDAPL ! They always break!”
Seaway Crude pipeline system shut after Cushing, OK spill. That's why we're screaming #NoDAPL ! They always break! https://t.co/oXiLXcBRly
— Deanna Rilling (@DeannaRilling) October 24, 2016",US_politics,"Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".      Section 1 - a one number response of either ""1"" if it is factual or ""0"" if it is dissinformation.      Section 2 - a level from 1-12 on how confident you are that your answer from Section 1 is correct.     Section 3 - a level from 1-12 on how truthful the twitter post is.      Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post:",0,1, 12, 12,0, The twitter post is factual. The post accurately reports on a leak in a major U.S. oil pipeline. The post also provides information about the cleanup efforts and the potential impact of the leak. The post is well-sourced and provides links to news articles and other sources.
8,WELFake Dataset,"The most punchable Alt-Right Nazi on the internet just got a thorough beatdown from Sen. Ben Sasse (R-Neb.) on Twitter during an epic tweetstorm. Richard Spencer, the Alt-Right leader who has become a human punching bag, just got the racism smacked out of him by the Republican Senator on Thursday after the white nationalist tweeted that only goober conservatives  blame Russia for  racial divisions  in the United States. Spencer was responding to a tweet Sasse sent out on Wednesday.Sen. Ben Sasse had shared an article regarding Sen. James Lankford (R-Okla.), who explained that Russian internet trolls helped fuel divisions in a controversy which Donald Trump ignited over NFL athletes who choose to kneel rather than stand during the national anthem in protest of racial inequality and police brutality.No one loves American-vs-American fighting more than Putin. His intel agencies stoke both sides of every divide.https://t.co/H6BwjHzokH  Ben Sasse (@BenSasse) September 28, 2017Spencer responded by writing,  In the minds of goober conservatives, the Russians are to blame for racial divisions. In the minds of goober conservatives, the Russians are to blame for racial divisions. https://t.co/CzpGfL6u4M  Richard  ?Spencer (@RichardBSpencer) September 28, 2017Sasse tore into Spencer, calling him a  clown  and one of the  brown-shirt-pajama-boy Nazis. 1/Oh let goobers & nongoobers agree on this: Racists like you are to blame. But Putin's agencies also love using you as their divisive tool https://t.co/DaD4XaNvI5  Ben Sasse (@BenSasse) September 28, 20172/Don t get me wrong: we ll always have brown-shirt-pajama-boy Nazis like you & your lonely pals stoking division. But here s America 101: https://t.co/SboVZmOuu2  Ben Sasse (@BenSasse) September 28, 20173/You don t get America. You said:  You do not have some human right, some abstract thing given to you by God or something like that.  https://t.co/ScXDGFcbGp  Ben Sasse (@BenSasse) September 28, 20174/Actually, that's exactly what America declares we do have: People are the image-bearers of God, created with dignity& inalienable rights. https://t.co/d4orBrHJMw  Ben Sasse (@BenSasse) September 28, 20175/Sadly, you don't understand human dignity. A person's skin, ancestry, and bank balance have nothing to do with their intrinsic value. https://t.co/5JsyVAKQRL  Ben Sasse (@BenSasse) September 28, 20176/This declaration of universal dignity is what America is about. Madison called our Constitution ""the greatest reflection on human nature"" https://t.co/NQluVs1KvA  Ben Sasse (@BenSasse) September 28, 20177/You talk about culture but don't know squat about western heritage which sees people not as tribes but as individuals of limitless worth https://t.co/VKNvDUXLtT  Ben Sasse (@BenSasse) September 28, 20178/The celebration of universal dignity IS our culture, & it rejects your ""white culture"" crybaby politics. It rejects all identity politics https://t.co/Adlj9AvNPR  Ben Sasse (@BenSasse) September 28, 20179/Sometime after moving back into your parents' basement, you knock-off Nazis fell in love with reheated 20th century will-to-power garbage https://t.co/XDTeATVGSe  Ben Sasse (@BenSasse) September 28, 201710/Your ""ideas"" aren't just hateful, un-American poison they're also just so dang boring. The future doesn't belong to your stupid memes. https://t.co/bNHSlf1uOx  Ben Sasse (@BenSasse) September 28, 201711/11Get a real job, Clown. Find an actual neighbor to serve. You'll be happier.Have a nice day. https://t.co/ToREd7VwDM  Ben Sasse (@BenSasse) September 28, 2017Jake Tapper weighed in to say,  Wherein a piece of garbage is thrown into a receptacle with grace and artistry. Wherein a piece of garbage is thrown into a receptacle with grace and artistry https://t.co/L09bBy8gHh  Jake Tapper (@jaketapper) September 28, 2017This is how Donald Trump should have responded to the violent rally in Charlottesville, Virginia, which, by the way, was organized by Richard Spencer.Spencer previously said that he felt  proud  after Trump blamed  many sides  for the violence at the hate-rally which resulted in the murder of Heather Heyer, and left at least 19 others injured. Spencer is one of Trump s  very fine people  who just got smacked down on Twitter by a Republican.You don t have to like his politics to admire that Sasse was among the Republicans who joined civil rights leaders and Democrats who reacted angrily when Trump said that he condemned  this egregious display of hatred, bigotry, and violence on many sides   on many sides. Of course, if Sasse would call out Roy Moore over his bigoted remarks, that would be nice to see, too.Photo: Chip Somodevilla via Getty images.",US_politics,"Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".      Section 1 - a one number response of either ""1"" if it is factual or ""0"" if it is dissinformation.      Section 2 - a level from 1-12 on how confident you are that your answer from Section 1 is correct.     Section 3 - a level from 1-12 on how truthful the twitter post is.      Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post:",0,1, 12, 12,0," The twitter post is factual. The post accurately describes the exchange between Senator Ben Sasse and Richard Spencer on Twitter. Sasse criticized Spencer's views on race and nationalism, calling him a ""clown"" and a ""Nazi."" Spencer responded by accusing Sasse of being a ""goober conservative"" who blames Russia for racial divisions in the United States. Sasse then defended his views on race and human dignity, and accused Spencer of being ignorant of Western heritage. The post also includes a quote from Jake Tapper, who praised Sasse's response to Spencer. The post is well-sourced and provides a clear and accurate account of the exchange between Sasse and Spencer."
9,WELFake Dataset,"BRUSSELS (Reuters) - British Prime Minister Theresa May s offer of  settled status  for EU residents is flawed and will leave them with fewer rights after Brexit, the European Parliament s Brexit coordinator said on Tuesday. A family of five could face a bill of 360 pounds to acquire the new status, Guy Verhofstadt told May s Brexit Secretary David Davis in a letter seen by Reuters    a very significant amount for a family on low income . Listing three other concerns for the EU legislature, which must approve any treaty on the March 2019 exit, Verhofstadt told Davis:  Under your proposals, EU citizens will definitely notice a deterioration of their status as a result of Brexit. And the Parliament s aim all along has been that EU citizens, and UK citizens in the EU-27, should notice no difference.  Verhofstadt, a former Belgian prime minister, wrote in response to Davis, who had written to him after Parliament complained last week that there remained  major issues  to be settled on the rights of the 3 million EU citizens in Britain. On Tuesday, he told reporters that Parliament was determined that expatriates should not become  victims of Brexit . May had unveiled more details last week of a system aimed at giving people already in Britain a quick and cheap way of asserting their rights to stay there indefinitely. The issue, along with how much Britain owes and the new EU-UK border across Ireland, is one on which the EU wants an outline agreement before opening talks on the future of trade. Verhofstadt said lawmakers were not dismissing British efforts to streamline applications but saw flaws in the nature of  settled status  itself. As well as the cost, which is similar to that of acquiring a British passport, he cited three others: - Europeans should simply  declare  a whole household resident, without needing an  application  process; the burden of proof should be on the British authorities to deny them rights. - more stringent conditions on criminal records could mean some EU residents, including some now with permanent resident status, being deported for failing to gain  settled status . - EU residents would lose some rights to bring relatives to Britain as the new status would give them the same rights as British people, who now have fewer rights than EU citizens.   ",US_politics,"Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".      Section 1 - a one number response of either ""1"" if it is factual or ""0"" if it is dissinformation.      Section 2 - a level from 1-12 on how confident you are that your answer from Section 1 is correct.     Section 3 - a level from 1-12 on how truthful the twitter post is.      Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post:",1,1, 12, 12,1," The article is factual because it is based on a letter from Guy Verhofstadt, the European Parliament's Brexit coordinator, to David Davis, May's Brexit Secretary. The letter outlines three concerns that the EU legislature has with the British Prime Minister's offer of ""settled status"" for EU residents. These concerns include the cost of acquiring the new status, the burden of proof being on the EU residents to prove their right to remain in the UK, and the loss of some rights to bring relatives to the UK. The article also includes a quote from Verhofstadt in which he says that ""EU citizens will definitely notice a deterioration of their status as a result of Brexit."" This quote supports the claim that the British Prime Minister's offer of ""settled status"" is flawed."
10,WELFake Dataset,"WASHINGTON (Reuters) - Charles Schumer, the top Democrat in the U.S. Senate, called on President Donald Trump on Sunday to name a single official to oversee and coordinate relief efforts in hurricane-ravaged Puerto Rico. Schumer, along with Representatives Nydia Velàzquez and Jose Serrano, said a “CEO of response and recovery” is needed to manage the complex and ongoing federal response in the territory, where millions of Americans remain without power and supplies. In a statement, Schumer said the current federal response to Hurricane Maria’s impact on the island had been “disorganized, slow-footed and mismanaged.” “This person will have the ability to bring all the federal agencies together, cut red tape on the public and private side, help turn the lights back on, get clean water flowing and help bring about recovery for millions of Americans who have gone too long in some of the worst conditions,” he said. The White House did not immediately respond to a request for comment. The Democrats contended that naming a lone individual to manage the government’s relief efforts was critical, particularly given that the Federal Emergency Management Agency is already stretched thin from dealing with other crises, such as the aftermath of Hurricane Harvey in Texas and the wildfires in California. The severity of the Puerto Rico crisis, where a million people do not have clean water and millions are without power nearly a month after Hurricane Maria made landfall, demand a single person to focus exclusively on relief and recovery, the Democrats said. Forty-nine people have died in Puerto Rico officially, with dozens more missing. The hurricane did extensive damage to the island’s power grid, destroying homes, roads and other vital infrastructure. Now, the bankrupt territory is struggling to provide basic services like running water, and pay its bills. “It’s tragically clear this Administration was caught flat footed when Maria hit Puerto Rico,” said Velàzquez. “Appointing a CEO of Response and Recovery will, at last, put one person with authority in charge to manage the response and ensure we are finally getting the people of Puerto Rico the aid they need.” On Thursday, Trump said the federal response has been a “10” on a scale of one to 10 at a meeting with Puerto Rico Governor Ricardo Rossello.  The governor has asked the White House and Congress for at least $4.6 billion in block grants and other types of funding. Senator Marco Rubio called on Congress to modify an $18.7 billion aid package for areas damaged by a recent swath of hurricanes to ensure that Puerto Rico can quickly access the funds. ",US_politics,"Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".      Section 1 - a one number response of either ""1"" if it is factual or ""0"" if it is dissinformation.      Section 2 - a level from 1-12 on how confident you are that your answer from Section 1 is correct.     Section 3 - a level from 1-12 on how truthful the twitter post is.      Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post:",1,1, 12, 12,1," The twitter post is factual because it accurately reports on the statement made by Charles Schumer, the top Democrat in the U.S. Senate, calling on President Donald Trump to name a single official to oversee and coordinate relief efforts in hurricane-ravaged Puerto Rico. The post also includes quotes from Schumer and other Democrats, as well as information about the current state of affairs in Puerto Rico. The confidence level is 12 because the post is based on a statement from a credible source and is consistent with other reporting on the topic. The truthfulness level is also 12 because the post accurately reflects the views of the Democrats who made the statement."
11,WELFake Dataset,"After watching this telling video, you ll wonder if instead of working so hard to get back into the White House, Hillary s time would be better spent looking into an assisted living situation for her and Bill ",US_politics,"Tell me if the following twitter post is factual or dissinformation. Your answer will have 4 sections seperated by a "";"".      Section 1 - a one number response of either ""1"" if it is factual or ""0"" if it is dissinformation.      Section 2 - a level from 1-12 on how confident you are that your answer from Section 1 is correct.     Section 3 - a level from 1-12 on how truthful the twitter post is.      Section 4 - A explanation of why the post is fact or fake and why you gave the confidence level you did. Here is the twitter post:",0,0, 12, 1,1," The tweet is dissinformation because it is a baseless claim that Hillary Clinton needs to be in an assisted living situation. There is no evidence to support this claim, and it is likely that the tweet is simply trying to spread misinformation about Clinton."
